,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,instant_bookable
0,4537,a few days or more,95,100,1,cabin,Private room,2,2,59,3,1125,139,278,Not Available
1,4103,a few days or more,95,100,2,studio apartment,Private room,2,1,129,1,365,0,339,Not Available
2,4115,a few days or more,95,0,2,villa,Entire home/apt,3,1,125,14,180,251,5,Available
3,3992,within an hour,100,100,1,studio apartment,Private room,2,1,125,2,730,136,219,Available
4,3941,within an hour,100,87,2,bunglow,Private room,2,1,75,2,1825,338,336,Available
5,3941,within an hour,100,87,2,studio apartment,Private room,1,1,55,2,730,355,480,Available
6,3927,a few days or more,95,0,1,villa,Entire home/apt,4,3,219,3,365,0,32,Not Available
7,3870,a few days or more,95,50,1,chalet,Entire home/apt,3,1,160,4,35,0,89,Not Available
8,3861,a few days or more,95,0,0,tent,Entire home/apt,4,4,211,3,30,362,59,Not Available
9,3861,within an hour,100,25,4,bunglow,Entire home/apt,2,1,115,4,1125,117,179,Available
10,3842,a few days or more,95,83,1,condo,Entire home/apt,2,1,150,3,1825,0,3,Available
11,3825,within an hour,100,93,1,tent,Entire home/apt,3,2,136,2,1124,244,368,Available
12,3824,a few days or more,95,0,0,condo,Entire home/apt,4,2,250,3,365,365,103,Available
13,3819,within a day,50,0,1,chalet,Entire home/apt,6,3,115,4,15,135,17,Not Available
14,3819,a few days or more,95,100,1,bunglow,Private room,2,1,118,2,365,343,307,Not Available
15,3863,a few days or more,95,83,1,condo,Private room,2,1,75,2,20,0,102,Available
16,3804,a few days or more,95,100,1,chalet,Private room,2,0,40,7,150,0,354,Available
17,3803,a few days or more,95,100,1,cabin,Private room,2,1,75,3,14,5,309,Not Available
18,3788,a few days or more,95,83,1,chalet,Private room,2,1,90,1,365,0,179,Available
19,3786,a few days or more,95,100,1,studio apartment,Entire home/apt,4,2,222,3,24,0,32,Available
20,3784,a few days or more,95,83,1,studio apartment,Private room,2,1,65,2,7,315,157,Not Available
21,3784,a few days or more,95,33,1,cottage,Entire home/apt,4,2,149,4,21,0,95,Available
22,3778,within a day,70,55,3,bunglow,Entire home/apt,2,2,155,1,681,179,0,Not Available
23,3766,within an hour,100,98,4,cabin,Private room,4,2,135,3,365,321,124,Available
24,3743,a few days or more,95,100,1,chalet,Entire home/apt,2,1,135,2,8,334,30,Available
25,3739,a few days or more,95,83,1,cottage,Entire home/apt,4,1,750,30,30,0,0,Available
26,3739,a few days or more,95,83,1,cottage,Entire home/apt,2,1,189,3,30,0,103,Available
27,3705,within a day,50,50,3,bunglow,Entire home/apt,2,1,106,2,30,0,16,Available
28,3703,within a day,50,100,2,bunglow,Private room,2,2,45,1,360,63,659,Available
29,3703,within a day,50,100,2,cabin,Private room,2,1,98,1,30,0,579,Available
